StudentID,Date,Status
S001,2023-09-01,Present
S001,2023-09-02,Present
S001,2023-09-03,Present
S001,2023-09-04,Present
S001,2023-09-05,Absent
S001,2023-09-06,Present
S001,2023-09-07,Absent
S001,2023-09-08,Present
S001,2023-09-09,Present
S001,2023-09-10,Present
S001,2023-09-11,Present
S001,2023-09-12,Present
S001,2023-09-13,Present
S001,2023-09-14,Present
S001,2023-09-15,Present
S001,2023-09-16,Present
S001,2023-09-17,Present
S001,2023-09-18,Present
S001,2023-09-19,Absent
S001,2023-09-20,Present
S001,2023-09-21,Absent
S001,2023-09-22,Present
S001,2023-09-23,Present
S001,2023-09-24,Present
S001,2023-09-25,Late
S001,2023-09-26,Present
S001,2023-09-27,Present
S001,2023-09-28,Present
S001,2023-09-29,Absent
S001,2023-09-30,Present
S002,2023-09-01,Absent
S002,2023-09-02,Absent
S002,2023-09-03,Present
S002,2023-09-04,Late
S002,2023-09-05,Present
S002,2023-09-06,Present
S002,2023-09-07,Absent
S002,2023-09-08,Present
S002,2023-09-09,Absent
S002,2023-09-10,Present
S002,2023-09-11,Absent
S002,2023-09-12,Present
S002,2023-09-13,Present
S002,2023-09-14,Present
S002,2023-09-15,Present
S002,2023-09-16,Present
S002,2023-09-17,Present
S002,2023-09-18,Present
S002,2023-09-19,Present
S002,2023-09-20,Present
S002,2023-09-21,Present
S002,2023-09-22,Present
S002,2023-09-23,Present
S002,2023-09-24,Late
S002,2023-09-25,Present
S002,2023-09-26,Present
S002,2023-09-27,Present
S002,2023-09-28,Absent
S002,2023-09-29,Present
S002,2023-09-30,Present
S003,2023-09-01,Late
S003,2023-09-02,Present
S003,2023-09-03,Present
S003,2023-09-04,Present
S003,2023-09-05,Absent
S003,2023-09-06,Absent
S003,2023-09-07,Present
S003,2023-09-08,Present
S003,2023-09-09,Present
S003,2023-09-10,Present
S003,2023-09-11,Present
S003,2023-09-12,Late
S003,2023-09-13,Absent
S003,2023-09-14,Present
S003,2023-09-15,Present
S003,2023-09-16,Present
S003,2023-09-17,Late
S003,2023-09-18,Present
S003,2023-09-19,Present
S003,2023-09-20,Present
S003,2023-09-21,Present
S003,2023-09-22,Present
S003,2023-09-23,Present
S003,2023-09-24,Absent
S003,2023-09-25,Present
S003,2023-09-26,Present
S003,2023-09-27,Late
S003,2023-09-28,Present
S003,2023-09-29,Present
S003,2023-09-30,Present
S004,2023-09-01,Present
S004,2023-09-02,Present
S004,2023-09-03,Absent
S004,2023-09-04,Present
S004,2023-09-05,Present
S004,2023-09-06,Present
S004,2023-09-07,Late
S004,2023-09-08,Present
S004,2023-09-09,Late
S004,2023-09-10,Absent
S004,2023-09-11,Present
S004,2023-09-12,Absent
S004,2023-09-13,Present
S004,2023-09-14,Present
S004,2023-09-15,Present
S004,2023-09-16,Present
S004,2023-09-17,Present
S004,2023-09-18,Present
S004,2023-09-19,Present
S004,2023-09-20,Late
S004,2023-09-21,Absent
S004,2023-09-22,Present
S004,2023-09-23,Present
S004,2023-09-24,Present
S004,2023-09-25,Late
S004,2023-09-26,Absent
S004,2023-09-27,Present
S004,2023-09-28,Present
S004,2023-09-29,Present
S004,2023-09-30,Present
S005,2023-09-01,Absent
S005,2023-09-02,Present
S005,2023-09-03,Absent
S005,2023-09-04,Present
S005,2023-09-05,Present
S005,2023-09-06,Present
S005,2023-09-07,Present
S005,2023-09-08,Late
S005,2023-09-09,Absent
S005,2023-09-10,Absent
S005,2023-09-11,Present
S005,2023-09-12,Present
S005,2023-09-13,Absent
S005,2023-09-14,Late
S005,2023-09-15,Present
S005,2023-09-16,Present
S005,2023-09-17,Present
S005,2023-09-18,Absent
S005,2023-09-19,Absent
S005,2023-09-20,Present
S005,2023-09-21,Present
S005,2023-09-22,Present
S005,2023-09-23,Present
S005,2023-09-24,Absent
S005,2023-09-25,Present
S005,2023-09-26,Present
S005,2023-09-27,Present
S005,2023-09-28,Absent
S005,2023-09-29,Present
S005,2023-09-30,Present
S006,2023-09-01,Late
S006,2023-09-02,Present
S006,2023-09-03,Present
S006,2023-09-04,Present
S006,2023-09-05,Present
S006,2023-09-06,Present
S006,2023-09-07,Present
S006,2023-09-08,Present
S006,2023-09-09,Present
