StudentID,Date,SessionDuration,PagesViewed
S001,2023-09-06,10.29,15
S001,2023-09-23,75.32,10
S001,2023-09-02,35.46,10
S001,2023-09-23,104.56,3
S001,2023-09-22,35.68,9
S001,2023-09-26,97.04,19
S001,2023-09-22,98.43,7
S001,2023-09-14,22.63,8
S001,2023-09-21,26.39,9
S001,2023-09-27,25.65,2
S002,2023-09-06,97.19,20
S002,2023-09-24,100.67,10
S002,2023-09-15,23.68,10
S002,2023-09-23,54.28,9
S002,2023-09-17,69.4,15
S002,2023-09-03,75.78,14
S002,2023-09-24,45.46,9
S002,2023-09-01,20.05,19
S002,2023-09-19,114.59,9
S002,2023-09-19,14.43,6
S003,2023-09-16,67.09,15
S003,2023-09-30,40.6,19
S003,2023-09-14,79.83,16
S003,2023-09-03,61.7,14
S003,2023-09-11,45.32,4
S003,2023-09-28,27.69,14
S003,2023-09-23,64.5,13
S003,2023-09-27,93.65,2
S003,2023-09-15,19.69,9
S003,2023-09-11,22.75,13
S004,2023-09-28,66.61,1
S004,2023-09-22,105.63,15
S004,2023-09-14,15.96,17
S004,2023-09-12,78.49,16
S004,2023-09-21,58.62,2
S004,2023-09-07,39.38,5
S004,2023-09-30,41.68,16
S004,2023-09-04,13.18,20
S004,2023-09-26,36.32,6
S004,2023-09-10,70.59,18
S005,2023-09-14,20.25,4
S005,2023-09-15,114.18,5
S005,2023-09-16,112.59,10
S005,2023-09-17,87.6,14
S005,2023-09-27,63.07,16
S005,2023-09-08,60.25,5
S005,2023-09-13,30.97,20
S005,2023-09-17,92.09,5
S005,2023-09-28,17.68,14
S005,2023-09-11,112.77,17
S006,2023-09-09,100.26,10
S006,2023-09-24,42.84,19
S006,2023-09-19,119.88,16
S006,2023-09-28,26.35,18
S006,2023-09-16,47.96,18
S006,2023-09-25,69.78,15
S006,2023-09-30,45.4,7
S006,2023-09-23,36.27,13
S006,2023-09-08,104.16,14
S006,2023-09-02,45.0,16
S007,2023-09-23,110.48,13
S007,2023-09-13,118.73,5
S007,2023-09-16,116.13,5
S007,2023-09-17,116.19,11
S007,2023-09-28,21.04,15
S007,2023-09-04,67.85,15
S007,2023-09-01,89.47,14
S007,2023-09-28,82.03,5
S007,2023-09-03,61.64,9
S007,2023-09-11,78.56,13
S008,2023-09-21,18.83,11
